,arithmetic_mu,sigma,naive_md,adjusted_md
1902-10-31,0.06990403551577558,0.08467623596226954,-0.19734927632395888,-0.2844706730260616
1902-11-30,0.07284979981946096,0.08597704009554002,-0.1972517413508255,-0.2843406618875164
1902-12-31,0.07367227705766678,0.08541361742942372,-0.1941834395696384,-0.2802453668212371
1903-01-31,0.0661177162241816,0.08370952210274427,-0.199347500631908,-0.2871319416749537
1903-02-28,0.0665302357590803,0.08365166938239914,-0.19858841578357195,-0.28612149707865064
1903-03-31,0.06789189405650839,0.08365640274477221,-0.1967478452957956,-0.2836688171627871
1903-04-30,0.07038077169871063,0.08533692503515707,-0.19881380033192605,-0.28642158055315275
1903-05-31,0.07070301795517993,0.08486624323553298,-0.19678717412880933,-0.2837212643537732
1903-06-30,0.07305572435139873,0.08475942418031586,-0.19294098724884418,-0.2785841067274012
1903-07-31,0.07630410273965765,0.0862966335894219,-0.1938986788578408,-0.2798647685151044
1903-08-31,0.07740472459547633,0.08638756099898089,-0.19286473996906453,-0.27848210259421585
1903-09-30,0.07884731774502485,0.08779234756488243,-0.19545249438073672,-0.2819404436323334
1903-10-31,0.08005337858773032,0.0883024013457258,-0.19550493213029663,-0.28201044663396024
1903-11-30,0.07975896006667059,0.0880742557500369,-0.19516258305742926,-0.281553365134909
1903-12-31,0.0771401936615688,0.08698164984143078,-0.19509681594232497,-0.2814655425356453
1904-01-31,0.07298626648669651,0.0861197632581535,-0.19751859478938588,-0.2846963445153826
1904-02-29,0.07416538204535038,0.08643512648300554,-0.19692577057739213,-0.283906076880333
1904-03-31,0.07468990301771851,0.08550518203131693,-0.19325732485664437,-0.2790072370418882
1904-04-30,0.07332098349434717,0.08594627384947687,-0.19645057945264394,-0.28327234155959435
1904-05-31,0.0722427447317618,0.08433065383626014,-0.1927389236954815,-0.2783137707389854
1904-06-30,0.07318621437766687,0.08592022871462528,-0.1965650917258055,-0.28342508276815265
1904-07-31,0.06961607669214079,0.08330244367770138,-0.19319409775812824,-0.2789226738503813
1904-08-31,0.06711574324747717,0.08169393214623154,-0.19113967151790018,-0.27617258513736137
1904-09-30,0.06801670367718535,0.08310114206071093,-0.19469092149832642,-0.28092342311977886
1904-10-31,0.06581935350513549,0.08175686870190475,-0.19312104489655443,-0.27882496369959403
1904-11-30,0.06509356131052536,0.08166549574502127,-0.19380040904106047,-0.2797334048141784
1904-12-31,0.0654776369573241,0.08262097484459204,-0.19652176336987623,-0.28336729131040506
1905-01-31,0.0763690890080043,0.08527561750591298,-0.1904862591104436,-0.2752969434207475
1905-02-28,0.07428428323081254,0.08449857468100348,-0.19045945587772753,-0.2752610142271956
1905-03-31,0.07449401744279269,0.08609943559966471,-0.1954337250217097,-0.28191538630192636
1905-04-30,0.07351910707640884,0.08420385629600653,-0.19042605021743203,-0.2752162335062431
1905-05-31,0.07534960522552568,0.08505228029213463,-0.19098443087177916,-0.27596458879177815
1905-06-30,0.07372838110577475,0.08358454560456709,-0.18814579589884925,-0.27215662136029006
